Multiprocess type:  no
         4667601 function calls (4482113 primitive calls) in 3655.651 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 argparse.py:1638(__init__)
     2726    0.001    0.000    0.001    0.000 {method 'pop' of 'collections.deque' objects}
       44    0.001    0.000    0.001    0.000 {method 'argmax' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 util.py:10(<module>)
     1449    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
      599    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
        8    0.000    0.000    0.001    0.000 enum.py:157(__new__)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
       44    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(where)
       56    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
     1629    0.001    0.000    0.001    0.000 fromnumeric.py:2698(_amax_dispatcher)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
     2729    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
       19    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
      552    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        2    0.000    0.000    0.001    0.000 std.py:1266(close)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
     1951    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
       91    0.000    0.000    0.001    0.000 std.py:400(format_interval)
       10    0.000    0.000    0.001    0.000 extras.py:234(__init__)
     6030    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       10    0.000    0.000    0.001    0.000 extras.py:238(getdoc)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 std.py:953(__init__)
       50    0.000    0.000    0.001    0.000 ntpath.py:180(split)
        1    0.000    0.000    0.000    0.000 string.py:67(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _monitor.py:30(__init__)
       20    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      204    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 type_check.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:158(_register_known_types)
       35    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
     2136    0.000    0.000    0.000    0.000 npyio.py:447(_save_dispatcher)
       27    0.000    0.000    0.000    0.000 abc.py:84(__new__)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
      205    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:417(PercentStyle)
        1    0.000    0.000    0.000    0.000 threading.py:834(start)
      507    0.000    0.000    0.000    0.000 mark_label.py:56(label)
     2726    0.000    0.000    0.000    0.000 contextlib.py:479(__enter__)
        1    0.000    0.000    0.000    0.000 scanner.py:1(<module>)
       45    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       46    0.000    0.000    0.000    0.000 std.py:1447(format_dict)
